Subj,CC,trial,Q,F,P,Pword,Item,rt,Score
S01,cc1,78,deg,NW,unr,alcohol,OVERBLAPS,906,C
S01,cc1,79,clr,HF,rel,journal,WRITE,486,C
S01,cc1,80,clr,NW,unr,launch,HORME,722,C
S01,cc1,81,deg,NW,unr,crowd,HADER,612,E
S01,cc1,82,clr,LF,unr,throne,WITCH,562,C
S01,cc1,83,clr,HF,unr,tank,GAMBLE,587,C
S01,cc1,84,deg,LF,unr,ritual,POLE,722,C
S01,cc1,85,deg,LF,rel,uniform,NURSE,549,C
S01,cc1,86,deg,NW,unr,full,MESTED,686,C
S01,cc1,87,deg,NW,unr,hate,FRID,610,C
S01,cc1,88,clr,NW,unr,apology,PIMEL,728,C
S01,cc1,89,deg,NW,unr,robber,DERD,730,C
S01,cc1,90,clr,HF,unr,brief,CASE,588,C
S01,cc1,91,clr,HF,unr,rooster,WORD,484,C
S01,cc1,92,clr,NW,unr,thirst,ABNORD,591,C
S01,cc1,93,deg,NW,unr,fear,HOAFER,743,C
S01,cc1,94,clr,NW,unr,lump,VARED,585,E
S01,cc1,95,deg,NW,unr,bourbon,GLIDEL,1015,C
S01,cc1,96,deg,NW,unr,pond,BAGES,927,C
S01,cc1,97,clr,HF,rel,appeal,LIKE,456,C
S01,cc1,98,clr,NW,unr,dead,LORKED,660,C
S01,cc1,99,deg,HF,rel,gray,BLACK,506,C
S01,cc1,100,deg,NW,unr,sugar,MAND,693,C
S01,cc1,101,deg,HF,rel,knock,DOOR,457,E
S01,cc1,102,deg,LF,rel,wisdom,SMART,573,C
S01,cc1,103,clr,NW,unr,inhale,VACK,630,C
S01,cc1,104,clr,NW,unr,area,GASER,652,C
S01,cc1,105,deg,LF,unr,impact,LOCK,657,C
S01,cc1,106,clr,LF,unr,panther,PINT,630,C
S01,cc1,107,deg,LF,unr,monarch,SNAKE,637,C
S01,cc1,108,deg,NW,unr,desert,REJATHED,531,C
S01,cc1,109,deg,HF,rel,bush,GARDEN,748,C
S01,cc1,110,clr,NW,unr,correct,FODE,909,C
S01,cc1,111,clr,HF,unr,problem,RIGHT,456,C
S01,cc1,112,clr,HF,rel,mayor,CITY,549,C
S01,cc1,113,deg,NW,unr,helium,INTERVESS,685,C
S01,cc1,114,deg,NW,unr,toad,WINT,673,C
S01,cc1,115,deg,NW,unr,weak,OVERTAGE,1126,C
S01,cc1,116,deg,NW,unr,child,GLIPS,727,C
S01,cc1,117,clr,HF,unr,guest,PRESENT,569,C
S01,cc1,118,deg,NW,unr,algebra,HISE,834,C
S01,cc1,119,clr,HF,unr,gloves,BREATH,528,C
S01,cc1,120,deg,HF,rel,society,PEOPLE,522,C
S01,cc1,121,clr,NW,unr,choose,INTERMIET,644,C
S01,cc1,122,clr,NW,unr,aunt,BLIDE,633,C
S01,cc1,123,clr,HF,unr,century,GONE,656,C
S01,cc1,124,deg,NW,unr,bitter,CORTED,500,C
S01,cc1,125,deg,LF,unr,anxiety,OCEAN,496,C
S01,cc1,126,clr,LF,rel,shame,GUILT,715,C
S01,cc1,127,clr,NW,unr,rock,NAIN,621,C
S01,cc1,128,deg,NW,unr,motor,ENJOLK,563,C
S01,cc1,129,deg,NW,unr,cape,EXMIRD,492,C
S01,cc1,130,deg,NW,unr,hoop,TASHED,951,C
S01,cc1,131,deg,NW,unr,kitten,SARPS,625,C
S01,cc1,132,deg,NW,unr,quiet,TERE,598,C
S01,cc1,133,clr,LF,unr,captive,JOKE,509,C
S01,cc1,134,deg,NW,unr,razor,NIDE,648,C
S01,cc1,135,deg,NW,unr,spank,GOIL,637,C
S01,cc1,136,clr,NW,unr,moon,GAFT,578,C
S01,cc1,137,clr,NW,unr,rhythm,FAFT,571,C
S01,cc1,138,deg,NW,unr,wasted,WEERD,515,C
S01,cc1,139,clr,LF,rel,buckle,SHOE,462,C
S01,cc1,140,deg,NW,unr,coral,TIET,457,C
S01,cc1,141,deg,LF,unr,orchid,DEFEND,518,E
S01,cc1,142,deg,HF,unr,piano,HEART,505,C
S01,cc1,143,deg,LF,rel,stingy,CHEAP,644,C
S01,cc1,144,deg,HF,rel,squad,POLICE,473,C
S01,cc1,145,clr,NW,unr,danger,CRIG,1981,C
S01,cc1,146,clr,HF,unr,stiff,WHEN,589,C
S01,cc1,147,clr,LF,unr,crumb,BALLOON,597,C
S01,cc1,148,deg,LF,rel,snorkel,SWIM,540,C
S01,cc1,149,deg,NW,unr,calm,PLOGED,582,C
S01,cc1,150,deg,HF,rel,brave,STRONG,541,C
S01,cc1,151,clr,HF,rel,marble,FLOOR,583,C
S01,cc1,152,deg,NW,unr,singer,PROWAMP,543,C
S01,cc1,153,deg,LF,rel,monk,PRIEST,504,E
S01,cc1,154,clr,NW,unr,judge,DIATHED,714,C
S01,cc1,155,clr,NW,unr,cement,BUCT,925,C
S01,cc1,156,deg,LF,rel,yarn,WOOL,551,C
S01,cc1,157,clr,NW,unr,house,GOUPER,704,C
S01,cc1,158,clr,NW,unr,explode,MEERS,1235,C
S01,cc1,159,clr,NW,unr,soar,GIAL,594,C
S01,cc1,160,clr,HF,unr,novel,PULL,520,C
S01,cc1,161,clr,NW,unr,cracker,VIRED,594,C
S01,cc1,162,clr,NW,unr,fill,PORM,1498,C
S01,cc1,163,deg,NW,unr,chance,FARPER,670,C
S01,cc1,164,deg,HF,unr,mare,COLD,849,E
S01,cc1,165,deg,NW,unr,chair,UNSOADER,583,C
S01,cc1,166,clr,HF,rel,parent,FATHER,575,C
S01,cc1,167,deg,LF,unr,plum,VAMPIRE,663,C
S01,cc1,168,deg,LF,unr,physics,UGLY,651,C
S01,cc1,169,clr,NW,unr,middle,SUBRUCT,673,C
S01,cc1,170,clr,NW,unr,plain,DANDEL,566,C
S01,cc1,171,deg,HF,rel,retain,HOLD,509,C
S01,cc1,172,deg,LF,rel,tarnish,SILVER,696,C
S01,cc1,173,clr,NW,unr,shelter,CATHE,891,C
S01,cc1,174,clr,LF,unr,robbery,ROCKET,455,C
S01,cc1,175,clr,LF,unr,stale,OYSTER,564,C
S01,cc1,176,deg,NW,unr,brain,GORT,573,C
S01,cc1,177,clr,NW,unr,shake,ANTIVORM,501,C
S01,cc1,178,clr,NW,unr,penny,POAL,449,E
S01,cc1,179,deg,NW,unr,neat,DURFER,741,C
S01,cc1,180,deg,HF,rel,domain,HOME,551,C
S01,cc1,181,clr,LF,unr,graft,HEAT,576,C
S01,cc1,182,deg,NW,unr,racket,BAVE,600,E
S01,cc1,183,deg,HF,unr,decide,MOUTH,695,C
S01,cc1,184,clr,NW,unr,shiver,NIFTS,587,C
S01,cc1,185,clr,LF,rel,vest,JACKET,755,C
S01,cc1,186,deg,LF,unr,spade,STAMP,756,C
S01,cc1,187,deg,NW,unr,square,REMOLKS,709,C
S01,cc1,188,clr,LF,unr,latch,CRASH,569,C
S01,cc1,189,deg,HF,rel,storage,SPACE,608,C
S01,cc1,190,deg,NW,unr,worth,VAKER,759,C
S01,cc1,191,clr,NW,unr,turtle,DISMONG,680,C
S01,cc1,192,deg,LF,unr,mask,NAVY,621,C
S01,cc1,193,clr,NW,unr,corpse,BOULER,623,E
S01,cc1,194,deg,HF,rel,theory,IDEA,556,C
S01,cc1,195,clr,NW,unr,stream,BIST,485,C
S01,cc1,196,deg,NW,unr,cough,GEENER,593,C
S01,cc1,197,clr,NW,unr,bomb,HOLKS,552,C
S01,cc1,198,clr,NW,unr,saber,FOOMS,785,C
S01,cc1,199,clr,NW,unr,clue,HOMPS,513,C
S01,cc1,200,clr,LF,rel,dump,GARBAGE,555,C
S01,cc1,201,deg,LF,unr,thaw,BLADE,645,C
S01,cc1,202,deg,LF,rel,pigeon,BIRD,473,C
S01,cc1,203,deg,HF,unr,routine,MAKE,613,C
S01,cc1,204,clr,NW,unr,place,VELLS,508,C
S01,cc1,205,clr,NW,unr,kind,GLEDER,487,C
S01,cc1,206,deg,NW,unr,eternal,PREPERN,626,C
S01,cc1,207,clr,HF,unr,frost,HORSE,568,C
S01,cc1,208,clr,LF,rel,hope,GLORY,481,C
S01,cc1,209,clr,NW,unr,movie,WOILY,556,C
S01,cc1,210,deg,HF,rel,blaze,FIRE,677,C
S01,cc1,211,deg,NW,unr,solid,HERME,553,C
S01,cc1,212,clr,NW,unr,prison,TEAPS,723,C
S01,cc1,213,deg,HF,rel,pause,STOP,533,C
S01,cc1,214,clr,LF,unr,sailor,HIDE,511,C
S01,cc1,215,clr,NW,unr,knob,REET,921,C
S01,cc1,216,deg,NW,unr,skinny,JOAD,564,C
S01,cc1,217,clr,HF,rel,meadow,GRASS,477,C
S01,cc1,218,clr,LF,rel,skip,JUMP,567,C
S01,cc1,219,clr,NW,unr,foot,DORNER,496,C
S01,cc1,220,clr,NW,unr,garlic,TOOMS,492,C
S01,cc1,221,clr,NW,unr,protect,MIAL,775,E
S01,cc1,222,deg,NW,unr,chalk,DOLFIN,750,C
S01,cc1,223,deg,HF,unr,reality,DARK,543,C
S01,cc1,224,deg,HF,rel,cork,WINE,553,C
S01,cc1,225,deg,NW,unr,slither,SOOFS,786,C
S01,cc1,226,clr,NW,unr,value,PREHOIN,497,C
S01,cc1,227,deg,LF,rel,fury,ANGER,669,C
S01,cc1,228,clr,NW,unr,throat,BIRES,657,C
S01,cc1,229,deg,NW,unr,perfume,MEROT,662,C
S01,cc1,230,clr,HF,rel,examine,STUDY,442,C
S01,cc1,231,deg,LF,unr,spider,COWBOY,487,C
S01,cc1,232,deg,HF,unr,costume,HELP,675,C
S01,cc1,233,clr,LF,rel,polite,NICE,455,C
S01,cc1,234,clr,NW,unr,stub,TILKER,388,C
S01,cc1,235,clr,NW,unr,find,HEAN,660,C
S01,cc1,236,clr,LF,rel,rinse,WASH,488,C
S01,cc1,237,deg,HF,rel,stem,PLANT,628,C
S01,cc1,238,clr,NW,unr,magic,SUBDOOP,490,C
S01,cc1,239,deg,HF,rel,strand,HAIR,597,C
S01,cc1,240,clr,LF,unr,referee,TUNE,653,C
S01,cc1,241,deg,NW,unr,site,RISHED,722,E
S01,cc1,242,deg,NW,unr,rabbit,FLEEPED,699,C
S01,cc1,243,clr,HF,rel,much,MORE,575,C
S01,cc1,244,deg,NW,unr,price,DATHE,679,C
S01,cc1,245,clr,NW,unr,tall,FOOR,475,E
S01,cc1,246,clr,LF,rel,stuck,GLUE,510,C
S01,cc1,247,clr,LF,unr,stomach,RUBBER,505,C
S01,cc1,248,deg,LF,rel,robe,BATH,501,E
S01,cc1,249,deg,HF,unr,just,ANSWER,663,C
S01,cc1,250,deg,NW,unr,abuse,CAID,700,C
S01,cc1,251,deg,NW,unr,onion,POAT,559,E
S01,cc1,252,deg,NW,unr,coke,SELP,703,C
S01,cc1,253,deg,NW,unr,nest,REJONG,1011,C
S01,cc1,254,deg,LF,rel,carrots,BUNNY,586,C
S01,cc1,255,clr,HF,rel,granite,STONE,466,C
S01,cc1,256,clr,NW,unr,alive,GOORCH,542,C
S01,cc1,257,deg,LF,rel,toaster,OVEN,488,C
S01,cc1,258,clr,HF,rel,fair,RIDE,531,C
S01,cc1,259,clr,NW,unr,seek,VORD,557,C
S01,cc1,260,clr,LF,unr,outlaw,INSECT,502,C
S01,cc1,261,clr,NW,unr,plate,AJURD,497,C
S01,cc1,262,deg,LF,unr,wedding,WEIGHT,556,C
S01,cc1,263,deg,NW,unr,phase,VADES,502,C
S01,cc1,264,clr,NW,unr,sharp,VABY,513,C
S01,cc1,265,deg,HF,rel,pity,SORRY,731,C
S01,cc1,266,clr,NW,unr,college,NERM,829,C
S01,cc1,267,clr,NW,unr,part,DIAKOME,523,C
S01,cc1,268,deg,NW,unr,span,NIRT,597,C
S01,cc1,269,clr,LF,rel,plead,GUILTY,492,C
S01,cc1,270,clr,NW,unr,bacon,ROFT,632,C
S01,cc1,271,deg,LF,rel,crops,CORN,559,C
S01,cc1,272,deg,NW,unr,star,NADER,503,C
S01,cc1,273,deg,LF,rel,croak,FROG,561,C
S01,cc1,274,clr,NW,unr,write,GINED,570,C
S01,cc1,275,deg,NW,unr,grizzly,PRALE,707,C
S01,cc1,276,clr,LF,rel,subtle,HINT,533,C
S01,cc1,277,deg,LF,rel,scary,FRIGHT,670,C
S01,cc1,278,clr,HF,unr,yawn,BLUE,467,C
S01,cc1,279,clr,NW,unr,pool,JASHES,496,C
S01,cc1,280,deg,NW,unr,sketch,FANTOM,587,C
S01,cc1,281,deg,NW,unr,funny,HIFT,579,C
S01,cc1,282,clr,NW,unr,fingers,FOKEL,555,C
S01,cc1,283,deg,LF,rel,trench,COAT,628,C
S01,cc1,284,deg,NW,unr,tooth,MUELED,746,C
S01,cc1,285,clr,NW,unr,dress,MUCTS,826,C
S01,cc1,286,deg,LF,rel,hail,STORM,521,C
S01,cc1,287,clr,NW,unr,clove,JAMPER,659,C
S01,cc1,288,deg,NW,unr,lion,NEEPS,823,C
S01,cc1,289,deg,HF,unr,loop,MIND,593,C
S01,cc1,290,deg,LF,unr,curse,KING,648,C
S01,cc1,291,clr,NW,unr,saltine,PROGOLLS,605,C
S01,cc1,292,clr,NW,unr,kill,VIRD,580,C
S01,cc1,293,clr,NW,unr,pain,LIPER,460,C
S01,cc1,294,deg,NW,unr,finish,UNCHIM,536,C
S01,cc1,295,deg,NW,unr,clam,GLIM,514,C
S01,cc1,296,clr,LF,rel,mints,CANDY,461,C
S01,cc1,297,deg,LF,rel,oval,ROUND,570,E
S01,cc1,298,clr,NW,unr,fangs,ROOR,521,E
S01,cc1,299,deg,HF,rel,some,MANY,684,C
S01,cc1,300,deg,NW,unr,push,BIAL,656,C
S01,cc1,301,clr,LF,unr,prime,JUICE,516,C
S01,cc1,302,deg,NW,unr,village,SAMP,719,C
S01,cc1,303,deg,NW,unr,piece,SUBVURD,609,C
S01,cc1,304,deg,NW,unr,violet,ABDESS,664,C
S01,cc1,305,deg,NW,unr,atom,KOOPER,588,C
S01,cc1,306,clr,NW,unr,blouse,DEST,644,E
S01,cc1,307,deg,NW,unr,dislike,TORM,785,C
S01,cc1,308,deg,LF,unr,prune,RIBS,672,C
S01,cc1,309,clr,NW,unr,quart,TRANSVEEM,789,C
S01,cc1,310,clr,NW,unr,past,PROLEEL,614,C
S01,cc1,311,clr,HF,rel,ideal,BEST,428,C
S01,cc1,312,clr,NW,unr,gift,PAME,729,C
S01,cc1,313,clr,HF,rel,gate,OPEN,523,C
S01,cc1,314,clr,LF,unr,stake,PURPLE,613,C
S01,cc1,315,clr,HF,unr,south,REASON,572,C
S01,cc1,316,clr,LF,unr,tuna,CHEAT,835,C
S01,cc1,317,deg,NW,unr,munch,NOOPS,466,C
S01,cc1,318,clr,NW,unr,giggle,JAINS,879,C
S01,cc1,319,clr,LF,unr,walrus,SCENT,491,C
S01,cc1,320,clr,HF,unr,gravity,ENGINE,645,C
S01,cc1,321,clr,NW,unr,cure,WELME,603,C
S01,cc1,322,deg,NW,unr,receive,TRIVEEF,546,C
S01,cc1,323,deg,NW,unr,lonely,TODELL,523,C
S01,cc1,324,deg,HF,rel,bench,SEAT,484,C
S01,cc1,325,clr,HF,rel,pour,LIQUID,528,C
S01,cc1,326,deg,NW,unr,stage,DOAF,586,C
S01,cc1,327,clr,LF,rel,team,SPORT,466,C
S01,cc1,328,deg,HF,unr,core,ALONE,558,C
S01,cc1,329,clr,NW,unr,human,GRUMS,630,C
S01,cc1,330,clr,HF,unr,pilot,SCHOOL,509,C
S01,cc1,331,clr,NW,unr,game,OVERJAGE,599,C
S01,cc1,332,clr,NW,unr,used,ANTIPOLD,462,C
S01,cc1,333,deg,HF,unr,cigar,NIGHT,506,C
S01,cc1,334,deg,NW,unr,sleep,DORTER,566,C
S01,cc1,335,clr,NW,unr,drink,DEHIET,462,C
S01,cc1,336,clr,HF,unr,simple,CIRCLE,490,C
S01,cc1,337,deg,LF,rel,omelet,EGGS,575,C
S01,cc1,338,deg,LF,unr,grove,FRUIT,520,C
S01,cc1,339,clr,NW,unr,shape,ABLERM,467,C
S01,cc1,340,deg,NW,unr,baby,GIREN,559,C
S01,cc1,341,clr,LF,unr,cliff,PUPPY,664,C
S01,cc1,342,clr,HF,rel,report,TELL,492,C
S01,cc1,343,clr,LF,rel,noisy,LOUD,392,C
S01,cc1,344,deg,LF,rel,rail,TRAIN,535,C
S01,cc1,345,clr,LF,rel,squeak,MOUSE,385,C
S01,cc1,346,deg,HF,unr,steam,EARTH,465,C
S01,cc1,347,clr,NW,unr,ease,EXVAIM,430,C
S01,cc1,348,deg,NW,unr,virtue,WOINS,428,C
S01,cc1,349,deg,LF,unr,melody,SOCCER,633,C
S01,cc1,350,deg,LF,rel,bunch,BANANA,527,C
S01,cc1,351,deg,NW,unr,east,NACE,426,E
S01,cc1,352,deg,LF,unr,mussel,BREAD,703,C
S01,cc1,353,clr,HF,unr,broken,PLAY,483,C
S01,cc1,354,deg,HF,rel,logic,THINK,462,C
S01,cc1,355,deg,HF,unr,jeans,TIRED,507,C
S01,cc1,356,deg,HF,unr,compass,STREET,486,C
S01,cc1,357,clr,NW,unr,fishing,TELD,754,C
S01,cc1,358,deg,NW,unr,cash,VOLKEL,579,C
S01,cc1,359,clr,NW,unr,step,PAFTER,492,C
S01,cc1,360,clr,HF,rel,handle,CARE,518,C
S01,cc1,361,deg,NW,unr,measure,PRENITY,705,C
S01,cc1,362,clr,LF,rel,quail,DUCK,516,C
S01,cc1,363,deg,NW,unr,whiskey,FASHIN,607,E
S01,cc1,364,clr,NW,unr,tale,BRIPED,621,C
S01,cc1,365,deg,NW,unr,sing,NAMPED,532,C
S01,cc1,366,clr,NW,unr,flask,SEMINART,446,C
S01,cc1,367,clr,NW,unr,ghost,WOATER,459,C
S01,cc1,368,clr,LF,rel,pickle,SOUR,471,C
S01,cc1,369,deg,LF,rel,barrier,REEF,660,C
S01,cc1,370,clr,LF,unr,scar,MATH,616,C
S01,cc1,371,clr,NW,unr,harsh,OVERWEEF,399,C
S01,cc1,372,deg,LF,unr,ounce,TIGER,557,C
S01,cc1,373,clr,LF,unr,haunt,PUSH,726,C
S01,cc1,374,deg,NW,unr,muffin,VEEP,600,C
S01,cc1,375,deg,NW,unr,last,DIATOOF,512,C
S01,cc1,376,clr,NW,unr,future,REGEEP,473,C
S01,cc1,377,clr,HF,rel,choice,PICK,549,C
S01,cc1,378,deg,NW,unr,neck,FELD,591,E
S01,cc1,379,clr,NW,unr,worn,NEEK,526,C
S01,cc1,380,clr,NW,unr,golf,PROMELP,455,C
S01,cc1,381,clr,HF,rel,free,COST,452,C
S01,cc1,382,clr,HF,unr,shadow,LIFE,466,C
S01,cc1,383,clr,HF,rel,side,FRONT,446,C
S01,cc1,384,clr,LF,rel,dungeon,JAIL,475,C
S01,cc1,385,deg,NW,unr,casket,DISWOUL,597,C
S01,cc1,386,clr,LF,rel,daring,BRAVE,588,C
S01,cc1,387,clr,HF,unr,late,SMOKE,420,C
S01,cc1,388,clr,LF,unr,sword,MELT,547,C
S01,cc1,389,clr,NW,unr,ivory,PIDER,411,C
S01,cc1,390,clr,HF,rel,outcome,FINAL,538,C
S01,cc1,391,clr,NW,unr,time,ROLK,596,C
S01,cc1,392,deg,NW,unr,trace,MIPER,539,C
S01,cc1,393,clr,LF,unr,attack,FLOWER,420,C
S01,cc1,394,clr,HF,unr,alley,POINT,579,C
S01,cc1,395,deg,HF,unr,smash,FINGER,539,C
S01,cc1,396,deg,NW,unr,drunk,STAPEL,581,C
S01,cc1,397,clr,NW,unr,person,VIND,956,C
S01,cc1,398,deg,NW,unr,brandy,TRANSHORD,565,C
S01,cc1,399,clr,NW,unr,sight,JIOT,446,C
S01,cc1,400,clr,LF,rel,snail,SLIMY,747,C
S01,cc1,401,deg,NW,unr,meeting,SEEF,1051,C
S01,cc1,402,clr,HF,rel,justice,PEACE,465,C
S01,cc1,403,deg,NW,unr,sheep,PURD,606,C
S01,cc1,404,deg,LF,unr,liar,FISH,565,C
S01,cc1,405,clr,LF,rel,awkward,WEIRD,477,C
S01,cc1,406,clr,LF,rel,fray,TEAR,521,C
S01,cc1,407,deg,NW,unr,proper,DEBIRT,563,C
S01,cc1,408,deg,LF,rel,offend,HURT,540,C
S01,cc1,409,deg,HF,unr,tractor,READ,452,C
S01,cc1,410,clr,NW,unr,song,VEATH,514,C
S01,cc1,411,clr,LF,unr,foolish,SHINE,556,C
S01,cc1,412,clr,HF,rel,plow,FIELD,437,C
S01,cc1,413,clr,NW,unr,stand,HITY,578,C
S01,cc1,414,clr,NW,unr,skirt,REBINT,474,C
S01,cc1,415,clr,LF,unr,thimble,BREAK,502,C
S01,cc1,416,deg,LF,unr,foam,ACHE,546,C
S01,cc1,417,clr,HF,rel,through,DONE,507,C
S01,cc1,418,clr,NW,unr,closet,LOMED,677,C
S01,cc1,419,deg,NW,unr,horror,HISHES,921,C
S01,cc1,420,clr,HF,unr,hike,HAND,548,C
S01,cc1,421,deg,HF,rel,lodge,HOTEL,524,C
S01,cc1,422,deg,HF,unr,spirit,PLANE,438,C
S01,cc1,423,deg,NW,unr,early,UNJEED,516,E
S01,cc1,424,clr,NW,unr,spice,RAIM,615,C
S01,cc1,425,deg,HF,unr,vary,SHOW,637,C
S01,cc1,426,deg,LF,rel,drum,STICK,562,C
S01,cc1,427,deg,LF,rel,seam,PANTS,443,C
S01,cc1,428,deg,HF,unr,guide,GIRL,537,C
S01,cc1,429,deg,LF,rel,hawk,EAGLE,450,C
S01,cc1,430,deg,LF,unr,flannel,SEAFOOD,479,C
S01,cc1,431,clr,NW,unr,beach,VARD,763,C
S01,cc1,432,clr,NW,unr,boat,VIRMER,587,C
S01,cc1,433,deg,NW,unr,beer,LURB,665,C
S01,cc1,434,clr,HF,unr,prove,CHANGE,461,C
S01,cc1,435,deg,HF,unr,bring,BEAR,714,C
S01,cc1,436,deg,HF,unr,wager,ARMY,525,C
S01,cc1,437,clr,LF,unr,cobra,RULER,503,C
S01,cc1,438,clr,HF,rel,hose,WATER,466,C
S01,cc1,439,deg,HF,unr,term,MORNING,510,C
S01,cc1,440,clr,HF,unr,design,SAME,425,C
S01,cc1,441,deg,HF,unr,scalp,BOAT,440,C
S01,cc1,442,deg,NW,unr,stud,JACE,533,C
S01,cc1,443,clr,HF,unr,scout,LEAD,591,C
S01,cc1,444,deg,HF,unr,stair,SHORT,631,C
S01,cc1,445,deg,LF,unr,fragile,THREAD,477,C
S01,cc1,446,deg,HF,rel,gender,FEMALE,442,C
S01,cc1,447,clr,LF,rel,barrel,MONKEY,375,C
S01,cc1,448,clr,NW,unr,gentle,UNKOOM,536,C
S01,cc1,449,clr,LF,unr,gain,BELL,578,C
S01,cc1,450,deg,HF,unr,exhale,HANDS,474,C
S01,cc1,451,clr,NW,unr,doctor,FRIMER,581,C
S01,cc1,452,clr,NW,unr,icing,CONTRANAIM,621,C
S01,cc1,453,deg,LF,rel,send,MAIL,532,C
S01,cc1,454,deg,NW,unr,jacket,GROPEL,606,C
S01,cc1,455,deg,HF,unr,package,FRIEND,484,C
S01,cc1,456,clr,NW,unr,worst,NAKE,641,C
S01,cc1,457,clr,NW,unr,frame,FARDED,678,C
