Subj,Item,trial,Freq,Prime,Qlty,lagQlty,lagTrgt,rt,F,P,Q,lQ,lT,rrt,trial.c
S01,NURSE,85,low,related,degraded,degraded,word,549,1,-1,1,1,-1,-1.8214936247723132,-155
S01,CASE,90,high,unrelated,clear,degraded,nonword,588,-1,1,-1,1,1,-1.7006802721088434,-150
S01,WORD,91,high,unrelated,clear,clear,word,484,-1,1,-1,-1,-1,-2.0661157024793386,-149
S01,BLACK,99,high,related,degraded,clear,nonword,506,-1,-1,1,-1,1,-1.976284584980237,-141
S01,SMART,102,low,related,degraded,degraded,word,573,1,-1,1,1,-1,-1.7452006980802792,-138
S01,LOCK,105,low,unrelated,degraded,clear,nonword,657,1,1,1,-1,1,-1.5220700152207,-135
S01,PINT,106,low,unrelated,clear,degraded,word,630,1,1,-1,1,-1,-1.5873015873015872,-134
S01,SNAKE,107,low,unrelated,degraded,clear,word,637,1,1,1,-1,-1,-1.5698587127158556,-133
S01,GARDEN,109,high,related,degraded,degraded,nonword,748,-1,-1,1,1,1,-1.3368983957219251,-131
S01,RIGHT,111,high,unrelated,clear,clear,nonword,456,-1,1,-1,-1,1,-2.192982456140351,-129
S01,CITY,112,high,related,clear,clear,word,549,-1,-1,-1,-1,-1,-1.8214936247723132,-128
S01,PRESENT,117,high,unrelated,clear,degraded,nonword,569,-1,1,-1,1,1,-1.757469244288225,-123
S01,BREATH,119,high,unrelated,clear,degraded,nonword,528,-1,1,-1,1,1,-1.893939393939394,-121
S01,PEOPLE,120,high,related,degraded,clear,word,522,-1,-1,1,-1,-1,-1.9157088122605364,-120
S01,GONE,123,high,unrelated,clear,clear,nonword,656,-1,1,-1,-1,1,-1.524390243902439,-117
S01,OCEAN,125,low,unrelated,degraded,degraded,nonword,496,1,1,1,1,1,-2.0161290322580645,-115
S01,GUILT,126,low,related,clear,degraded,word,715,1,-1,-1,1,-1,-1.3986013986013985,-114
S01,JOKE,133,low,unrelated,clear,degraded,nonword,509,1,1,-1,1,1,-1.9646365422396856,-107
S01,SHOE,139,low,related,clear,degraded,nonword,462,1,-1,-1,1,1,-2.1645021645021645,-101
S01,HEART,142,high,unrelated,degraded,degraded,word,505,-1,1,1,1,-1,-1.9801980198019802,-98
S01,CHEAP,143,low,related,degraded,degraded,word,644,1,-1,1,1,-1,-1.5527950310559007,-97
S01,POLICE,144,high,related,degraded,degraded,word,473,-1,-1,1,1,-1,-2.1141649048625792,-96
S01,WHEN,146,high,unrelated,clear,clear,nonword,589,-1,1,-1,-1,1,-1.697792869269949,-94
S01,BALLOON,147,low,unrelated,clear,clear,word,597,1,1,-1,-1,-1,-1.6750418760469012,-93
S01,SWIM,148,low,related,degraded,clear,word,540,1,-1,1,-1,-1,-1.8518518518518519,-92
S01,STRONG,150,high,related,degraded,degraded,nonword,541,-1,-1,1,1,1,-1.8484288354898337,-90
S01,FLOOR,151,high,related,clear,degraded,word,583,-1,-1,-1,1,-1,-1.7152658662092624,-89
S01,WOOL,156,low,related,degraded,clear,nonword,551,1,-1,1,-1,1,-1.8148820326678765,-84
S01,PULL,160,high,unrelated,clear,clear,nonword,520,-1,1,-1,-1,1,-1.9230769230769231,-80
S01,FATHER,166,high,related,clear,degraded,nonword,575,-1,-1,-1,1,1,-1.7391304347826086,-74
S01,VAMPIRE,167,low,unrelated,degraded,clear,word,663,1,1,1,-1,-1,-1.5082956259426847,-73
S01,UGLY,168,low,unrelated,degraded,degraded,word,651,1,1,1,1,-1,-1.5360983102918586,-72
S01,HOLD,171,high,related,degraded,clear,nonword,509,-1,-1,1,-1,1,-1.9646365422396856,-69
S01,SILVER,172,low,related,degraded,degraded,word,696,1,-1,1,1,-1,-1.4367816091954022,-68
S01,ROCKET,174,low,unrelated,clear,clear,nonword,455,1,1,-1,-1,1,-2.197802197802198,-66
S01,OYSTER,175,low,unrelated,clear,clear,word,564,1,1,-1,-1,-1,-1.7730496453900708,-65
S01,HOME,180,high,related,degraded,degraded,nonword,551,-1,-1,1,1,1,-1.8148820326678765,-60
S01,HEAT,181,low,unrelated,clear,degraded,word,576,1,1,-1,1,-1,-1.7361111111111112,-59
S01,MOUTH,183,high,unrelated,degraded,degraded,nonword,695,-1,1,1,1,1,-1.4388489208633093,-57
S01,JACKET,185,low,related,clear,clear,nonword,755,1,-1,-1,-1,1,-1.3245033112582782,-55
S01,STAMP,186,low,unrelated,degraded,clear,word,756,1,1,1,-1,-1,-1.3227513227513228,-54
S01,CRASH,188,low,unrelated,clear,degraded,nonword,569,1,1,-1,1,1,-1.757469244288225,-52
S01,SPACE,189,high,related,degraded,clear,word,608,-1,-1,1,-1,-1,-1.644736842105263,-51
S01,NAVY,192,low,unrelated,degraded,clear,nonword,621,1,1,1,-1,1,-1.6103059581320451,-48
S01,IDEA,194,high,related,degraded,clear,nonword,556,-1,-1,1,-1,1,-1.7985611510791366,-46
S01,GARBAGE,200,low,related,clear,clear,nonword,555,1,-1,-1,-1,1,-1.8018018018018018,-40
S01,BLADE,201,low,unrelated,degraded,clear,word,645,1,1,1,-1,-1,-1.550387596899225,-39
S01,BIRD,202,low,related,degraded,degraded,word,473,1,-1,1,1,-1,-2.1141649048625792,-38
S01,MAKE,203,high,unrelated,degraded,degraded,word,613,-1,1,1,1,-1,-1.6313213703099512,-37
S01,HORSE,207,high,unrelated,clear,degraded,nonword,568,-1,1,-1,1,1,-1.7605633802816902,-33
S01,GLORY,208,low,related,clear,clear,word,481,1,-1,-1,-1,-1,-2.079002079002079,-32
S01,FIRE,210,high,related,degraded,clear,nonword,677,-1,-1,1,-1,1,-1.4771048744460857,-30
S01,STOP,213,high,related,degraded,clear,nonword,533,-1,-1,1,-1,1,-1.876172607879925,-27
S01,HIDE,214,low,unrelated,clear,degraded,word,511,1,1,-1,1,-1,-1.9569471624266144,-26
S01,GRASS,217,high,related,clear,degraded,nonword,477,-1,-1,-1,1,1,-2.0964360587002098,-23
S01,JUMP,218,low,related,clear,clear,word,567,1,-1,-1,-1,-1,-1.763668430335097,-22
S01,DARK,223,high,unrelated,degraded,degraded,nonword,543,-1,1,1,1,1,-1.8416206261510129,-17
S01,WINE,224,high,related,degraded,degraded,word,553,-1,-1,1,1,-1,-1.8083182640144666,-16
S01,ANGER,227,low,related,degraded,clear,nonword,669,1,-1,1,-1,1,-1.4947683109118086,-13
S01,STUDY,230,high,related,clear,degraded,nonword,442,-1,-1,-1,1,1,-2.262443438914027,-10
S01,COWBOY,231,low,unrelated,degraded,clear,word,487,1,1,1,-1,-1,-2.0533880903490758,-9
S01,HELP,232,high,unrelated,degraded,degraded,word,675,-1,1,1,1,-1,-1.4814814814814814,-8
S01,NICE,233,low,related,clear,degraded,word,455,1,-1,-1,1,-1,-2.197802197802198,-7
S01,WASH,236,low,related,clear,clear,nonword,488,1,-1,-1,-1,1,-2.0491803278688523,-4
S01,PLANT,237,high,related,degraded,clear,word,628,-1,-1,1,-1,-1,-1.5923566878980893,-3
S01,HAIR,239,high,related,degraded,clear,nonword,597,-1,-1,1,-1,1,-1.6750418760469012,-1
S01,TUNE,240,low,unrelated,clear,degraded,word,653,1,1,-1,1,-1,-1.5313935681470139,0
S01,MORE,243,high,related,clear,degraded,nonword,575,-1,-1,-1,1,1,-1.7391304347826086,3
S01,GLUE,246,low,related,clear,clear,nonword,510,1,-1,-1,-1,1,-1.9607843137254901,6
S01,RUBBER,247,low,unrelated,clear,clear,word,505,1,1,-1,-1,-1,-1.9801980198019802,7
S01,ANSWER,249,high,unrelated,degraded,degraded,word,663,-1,1,1,1,-1,-1.5082956259426847,9
S01,BUNNY,254,low,related,degraded,degraded,nonword,586,1,-1,1,1,1,-1.7064846416382253,14
S01,STONE,255,high,related,clear,degraded,word,466,-1,-1,-1,1,-1,-2.1459227467811157,15
S01,OVEN,257,low,related,degraded,clear,nonword,488,1,-1,1,-1,1,-2.0491803278688523,17
S01,RIDE,258,high,related,clear,degraded,word,531,-1,-1,-1,1,-1,-1.8832391713747645,18
S01,INSECT,260,low,unrelated,clear,clear,nonword,502,1,1,-1,-1,1,-1.9920318725099602,20
S01,WEIGHT,262,low,unrelated,degraded,clear,nonword,556,1,1,1,-1,1,-1.7985611510791366,22
S01,SORRY,265,high,related,degraded,clear,nonword,731,-1,-1,1,-1,1,-1.3679890560875514,25
S01,GUILTY,269,low,related,clear,degraded,nonword,492,1,-1,-1,1,1,-2.032520325203252,29
S01,CORN,271,low,related,degraded,clear,nonword,559,1,-1,1,-1,1,-1.7889087656529516,31
S01,FROG,273,low,related,degraded,degraded,nonword,561,1,-1,1,1,1,-1.7825311942959001,33
S01,HINT,276,low,related,clear,degraded,nonword,533,1,-1,-1,1,1,-1.876172607879925,36
S01,FRIGHT,277,low,related,degraded,clear,word,670,1,-1,1,-1,-1,-1.492537313432836,37
S01,BLUE,278,high,unrelated,clear,degraded,word,467,-1,1,-1,1,-1,-2.1413276231263385,38
S01,COAT,283,low,related,degraded,clear,nonword,628,1,-1,1,-1,1,-1.5923566878980893,43
S01,STORM,286,low,related,degraded,clear,nonword,521,1,-1,1,-1,1,-1.9193857965451055,46
S01,KING,290,low,unrelated,degraded,degraded,word,648,1,1,1,1,-1,-1.5432098765432098,50
S01,CANDY,296,low,related,clear,degraded,nonword,461,1,-1,-1,1,1,-2.1691973969631237,56
S01,MANY,299,high,related,degraded,clear,nonword,684,-1,-1,1,-1,1,-1.4619883040935673,59
S01,JUICE,301,low,unrelated,clear,degraded,nonword,516,1,1,-1,1,1,-1.937984496124031,61
S01,RIBS,308,low,unrelated,degraded,degraded,nonword,672,1,1,1,1,1,-1.4880952380952381,68
S01,BEST,311,high,related,clear,clear,nonword,428,-1,-1,-1,-1,1,-2.336448598130841,71
S01,OPEN,313,high,related,clear,clear,nonword,523,-1,-1,-1,-1,1,-1.9120458891013383,73
S01,PURPLE,314,low,unrelated,clear,clear,word,613,1,1,-1,-1,-1,-1.6313213703099512,74
S01,REASON,315,high,unrelated,clear,clear,word,572,-1,1,-1,-1,-1,-1.7482517482517483,75
S01,CHEAT,316,low,unrelated,clear,clear,word,835,1,1,-1,-1,-1,-1.1976047904191616,76
S01,SCENT,319,low,unrelated,clear,clear,nonword,491,1,1,-1,-1,1,-2.0366598778004072,79
S01,ENGINE,320,high,unrelated,clear,clear,word,645,-1,1,-1,-1,-1,-1.550387596899225,80
S01,SEAT,324,high,related,degraded,degraded,nonword,484,-1,-1,1,1,1,-2.0661157024793386,84
S01,LIQUID,325,high,related,clear,degraded,word,528,-1,-1,-1,1,-1,-1.893939393939394,85
S01,SPORT,327,low,related,clear,degraded,nonword,466,1,-1,-1,1,1,-2.1459227467811157,87
S01,ALONE,328,high,unrelated,degraded,clear,word,558,-1,1,1,-1,-1,-1.7921146953405018,88
S01,SCHOOL,330,high,unrelated,clear,clear,nonword,509,-1,1,-1,-1,1,-1.9646365422396856,90
S01,NIGHT,333,high,unrelated,degraded,clear,nonword,506,-1,1,1,-1,1,-1.976284584980237,93
S01,CIRCLE,336,high,unrelated,clear,clear,nonword,490,-1,1,-1,-1,1,-2.0408163265306123,96
S01,FRUIT,338,low,unrelated,degraded,degraded,word,520,1,1,1,1,-1,-1.9230769230769231,98
S01,PUPPY,341,low,unrelated,clear,degraded,nonword,664,1,1,-1,1,1,-1.5060240963855422,101
S01,TELL,342,high,related,clear,clear,word,492,-1,-1,-1,-1,-1,-2.032520325203252,102
S01,LOUD,343,low,related,clear,clear,word,392,1,-1,-1,-1,-1,-2.5510204081632653,103
S01,TRAIN,344,low,related,degraded,clear,word,535,1,-1,1,-1,-1,-1.8691588785046729,104
S01,MOUSE,345,low,related,clear,degraded,word,385,1,-1,-1,1,-1,-2.5974025974025974,105
S01,EARTH,346,high,unrelated,degraded,clear,word,465,-1,1,1,-1,-1,-2.150537634408602,106
S01,SOCCER,349,low,unrelated,degraded,degraded,nonword,633,1,1,1,1,1,-1.5797788309636651,109
S01,BANANA,350,low,related,degraded,degraded,word,527,1,-1,1,1,-1,-1.8975332068311195,110
S01,BREAD,352,low,unrelated,degraded,degraded,nonword,703,1,1,1,1,1,-1.422475106685633,112
S01,PLAY,353,high,unrelated,clear,degraded,word,483,-1,1,-1,1,-1,-2.070393374741201,113
S01,THINK,354,high,related,degraded,clear,word,462,-1,-1,1,-1,-1,-2.1645021645021645,114
S01,TIRED,355,high,unrelated,degraded,degraded,word,507,-1,1,1,1,-1,-1.9723865877712032,115
S01,STREET,356,high,unrelated,degraded,degraded,word,486,-1,1,1,1,-1,-2.05761316872428,116
S01,CARE,360,high,related,clear,clear,nonword,518,-1,-1,-1,-1,1,-1.9305019305019304,120
S01,DUCK,362,low,related,clear,degraded,nonword,516,1,-1,-1,1,1,-1.937984496124031,122
S01,SOUR,368,low,related,clear,clear,nonword,471,1,-1,-1,-1,1,-2.1231422505307855,128
S01,REEF,369,low,related,degraded,clear,word,660,1,-1,1,-1,-1,-1.5151515151515151,129
S01,MATH,370,low,unrelated,clear,degraded,word,616,1,1,-1,1,-1,-1.6233766233766234,130
S01,TIGER,372,low,unrelated,degraded,clear,nonword,557,1,1,1,-1,1,-1.7953321364452424,132
S01,PUSH,373,low,unrelated,clear,degraded,word,726,1,1,-1,1,-1,-1.3774104683195592,133
S01,PICK,377,high,related,clear,clear,nonword,549,-1,-1,-1,-1,1,-1.8214936247723132,137
S01,COST,381,high,related,clear,clear,nonword,452,-1,-1,-1,-1,1,-2.2123893805309733,141
S01,LIFE,382,high,unrelated,clear,clear,word,466,-1,1,-1,-1,-1,-2.1459227467811157,142
S01,FRONT,383,high,related,clear,clear,word,446,-1,-1,-1,-1,-1,-2.242152466367713,143
S01,JAIL,384,low,related,clear,clear,word,475,1,-1,-1,-1,-1,-2.1052631578947367,144
S01,BRAVE,386,low,related,clear,degraded,nonword,588,1,-1,-1,1,1,-1.7006802721088434,146
S01,SMOKE,387,high,unrelated,clear,clear,word,420,-1,1,-1,-1,-1,-2.380952380952381,147
S01,MELT,388,low,unrelated,clear,clear,word,547,1,1,-1,-1,-1,-1.8281535648994516,148
S01,FINAL,390,high,related,clear,clear,nonword,538,-1,-1,-1,-1,1,-1.858736059479554,150
S01,FLOWER,393,low,unrelated,clear,degraded,nonword,420,1,1,-1,1,1,-2.380952380952381,153
S01,POINT,394,high,unrelated,clear,clear,word,579,-1,1,-1,-1,-1,-1.7271157167530224,154
S01,FINGER,395,high,unrelated,degraded,clear,word,539,-1,1,1,-1,-1,-1.8552875695732838,155
S01,SLIMY,400,low,related,clear,clear,nonword,747,1,-1,-1,-1,1,-1.3386880856760375,160
S01,PEACE,402,high,related,clear,degraded,nonword,465,-1,-1,-1,1,1,-2.150537634408602,162
S01,FISH,404,low,unrelated,degraded,degraded,nonword,565,1,1,1,1,1,-1.7699115044247788,164
S01,WEIRD,405,low,related,clear,degraded,word,477,1,-1,-1,1,-1,-2.0964360587002098,165
S01,TEAR,406,low,related,clear,clear,word,521,1,-1,-1,-1,-1,-1.9193857965451055,166
S01,HURT,408,low,related,degraded,degraded,nonword,540,1,-1,1,1,1,-1.8518518518518519,168
S01,READ,409,high,unrelated,degraded,degraded,word,452,-1,1,1,1,-1,-2.2123893805309733,169
S01,SHINE,411,low,unrelated,clear,clear,nonword,556,1,1,-1,-1,1,-1.7985611510791366,171
S01,FIELD,412,high,related,clear,clear,word,437,-1,-1,-1,-1,-1,-2.288329519450801,172
S01,BREAK,415,low,unrelated,clear,clear,nonword,502,1,1,-1,-1,1,-1.9920318725099602,175
S01,ACHE,416,low,unrelated,degraded,clear,word,546,1,1,1,-1,-1,-1.8315018315018314,176
S01,DONE,417,high,related,clear,degraded,word,507,-1,-1,-1,1,-1,-1.9723865877712032,177
S01,HAND,420,high,unrelated,clear,degraded,nonword,548,-1,1,-1,1,1,-1.8248175182481752,180
S01,HOTEL,421,high,related,degraded,clear,word,524,-1,-1,1,-1,-1,-1.9083969465648856,181
S01,PLANE,422,high,unrelated,degraded,degraded,word,438,-1,1,1,1,-1,-2.2831050228310503,182
S01,SHOW,425,high,unrelated,degraded,clear,nonword,637,-1,1,1,-1,1,-1.5698587127158556,185
S01,STICK,426,low,related,degraded,degraded,word,562,1,-1,1,1,-1,-1.7793594306049823,186
S01,PANTS,427,low,related,degraded,degraded,word,443,1,-1,1,1,-1,-2.2573363431151243,187
S01,GIRL,428,high,unrelated,degraded,degraded,word,537,-1,1,1,1,-1,-1.86219739292365,188
S01,EAGLE,429,low,related,degraded,degraded,word,450,1,-1,1,1,-1,-2.2222222222222223,189
S01,SEAFOOD,430,low,unrelated,degraded,degraded,word,479,1,1,1,1,-1,-2.0876826722338206,190
S01,CHANGE,434,high,unrelated,clear,degraded,nonword,461,-1,1,-1,1,1,-2.1691973969631237,194
S01,BEAR,435,high,unrelated,degraded,clear,word,714,-1,1,1,-1,-1,-1.4005602240896358,195
S01,ARMY,436,high,unrelated,degraded,degraded,word,525,-1,1,1,1,-1,-1.9047619047619047,196
S01,RULER,437,low,unrelated,clear,degraded,word,503,1,1,-1,1,-1,-1.9880715705765408,197
S01,WATER,438,high,related,clear,clear,word,466,-1,-1,-1,-1,-1,-2.1459227467811157,198
S01,MORNING,439,high,unrelated,degraded,clear,word,510,-1,1,1,-1,-1,-1.9607843137254901,199
S01,SAME,440,high,unrelated,clear,degraded,word,425,-1,1,-1,1,-1,-2.3529411764705883,200
S01,BOAT,441,high,unrelated,degraded,clear,word,440,-1,1,1,-1,-1,-2.272727272727273,201
S01,LEAD,443,high,unrelated,clear,degraded,nonword,591,-1,1,-1,1,1,-1.6920473773265652,203
S01,SHORT,444,high,unrelated,degraded,clear,word,631,-1,1,1,-1,-1,-1.5847860538827259,204
S01,THREAD,445,low,unrelated,degraded,degraded,word,477,1,1,1,1,-1,-2.0964360587002098,205
S01,FEMALE,446,high,related,degraded,degraded,word,442,-1,-1,1,1,-1,-2.262443438914027,206
S01,MONKEY,447,low,related,clear,degraded,word,375,1,-1,-1,1,-1,-2.6666666666666665,207
S01,BELL,449,low,unrelated,clear,clear,nonword,578,1,1,-1,-1,1,-1.7301038062283738,209
S01,HANDS,450,high,unrelated,degraded,clear,word,474,-1,1,1,-1,-1,-2.109704641350211,210
S01,MAIL,453,low,related,degraded,clear,nonword,532,1,-1,1,-1,1,-1.8796992481203008,213
S01,FRIEND,455,high,unrelated,degraded,degraded,nonword,484,-1,1,1,1,1,-2.0661157024793386,215
S01,WEST,459,high,unrelated,degraded,clear,nonword,577,-1,1,1,-1,1,-1.733102253032929,219
S01,NERVOUS,460,low,unrelated,clear,degraded,word,537,1,1,-1,1,-1,-1.86219739292365,220
S01,TAKE,461,high,unrelated,clear,clear,word,515,-1,1,-1,-1,-1,-1.941747572815534,221
S01,SAND,463,low,related,clear,degraded,nonword,551,1,-1,-1,1,1,-1.8148820326678765,223
S01,STICKY,464,low,related,degraded,clear,word,625,1,-1,1,-1,-1,-1.6,224
S01,SHOWER,465,low,related,degraded,degraded,word,487,1,-1,1,1,-1,-2.0533880903490758,225
S01,SECOND,466,high,related,clear,degraded,word,547,-1,-1,-1,1,-1,-1.8281535648994516,226
S01,SCARE,471,low,unrelated,degraded,clear,nonword,635,1,1,1,-1,1,-1.5748031496062993,231
S01,DESTROY,472,high,unrelated,clear,degraded,word,512,-1,1,-1,1,-1,-1.953125,232
S01,LIGHT,473,high,related,clear,clear,word,443,-1,-1,-1,-1,-1,-2.2573363431151243,233
S01,BACK,477,high,unrelated,clear,clear,nonword,546,-1,1,-1,-1,1,-1.8315018315018314,237
S01,MEAN,478,high,related,degraded,clear,word,651,-1,-1,1,-1,-1,-1.5360983102918586,238
S01,THIEF,480,low,unrelated,degraded,clear,word,487,1,1,1,-1,-1,-2.0533880903490758,240
S02,MORNING,3,high,related,degraded,degraded,nonword,802,-1,-1,1,1,1,-1.2468827930174564,-237
S02,READ,8,high,related,degraded,clear,nonword,524,-1,-1,1,-1,1,-1.9083969465648856,-232
S02,COAT,9,low,unrelated,clear,degraded,word,694,1,1,-1,1,-1,-1.440922190201729,-231
S02,SHOWER,13,low,unrelated,clear,clear,nonword,754,1,1,-1,-1,1,-1.3262599469496021,-227
S02,GRASS,16,high,unrelated,degraded,clear,nonword,1100,-1,1,1,-1,1,-0.9090909090909091,-224
S02,BLADE,17,low,related,degraded,degraded,word,623,1,-1,1,1,-1,-1.6051364365971108,-223
S02,JAIL,21,low,unrelated,degraded,degraded,nonword,648,1,1,1,1,1,-1.5432098765432098,-219
S02,SHINE,22,low,related,clear,degraded,word,924,1,-1,-1,1,-1,-1.0822510822510822,-218
S02,HOLD,23,high,unrelated,clear,clear,word,631,-1,1,-1,-1,-1,-1.5847860538827259,-217
S02,HAND,28,high,related,clear,clear,nonword,661,-1,-1,-1,-1,1,-1.51285930408472,-212
S02,PLANT,30,high,unrelated,clear,degraded,nonword,714,-1,1,-1,1,1,-1.4005602240896358,-210
S02,HAIR,31,high,unrelated,clear,clear,word,589,-1,1,-1,-1,-1,-1.697792869269949,-209
S02,HAVE,33,high,unrelated,clear,clear,nonword,692,-1,1,-1,-1,1,-1.4450867052023122,-207
S02,OPEN,34,high,unrelated,degraded,clear,word,697,-1,1,1,-1,-1,-1.4347202295552368,-206
S02,GARBAGE,37,low,unrelated,degraded,degraded,nonword,715,1,1,1,1,1,-1.3986013986013985,-203
S02,POLICE,38,high,unrelated,clear,degraded,word,670,-1,1,-1,1,-1,-1.492537313432836,-202
S02,OCEAN,40,low,related,degraded,clear,nonword,632,1,-1,1,-1,1,-1.5822784810126582,-200
S02,OYSTER,43,low,related,clear,degraded,nonword,840,1,-1,-1,1,1,-1.1904761904761905,-197
S02,GUILTY,44,low,unrelated,degraded,clear,word,694,1,1,1,-1,-1,-1.440922190201729,-196
S02,RULER,45,low,related,clear,degraded,word,714,1,-1,-1,1,-1,-1.4005602240896358,-195
S02,PULL,46,high,related,clear,clear,word,621,-1,-1,-1,-1,-1,-1.6103059581320451,-194
S02,SOCCER,48,low,related,degraded,degraded,nonword,826,1,-1,1,1,1,-1.2106537530266344,-192
S02,MAKE,50,high,related,degraded,degraded,word,689,-1,-1,1,1,-1,-1.4513788098693758,-190
S02,ANSWER,51,high,related,degraded,degraded,word,597,-1,-1,1,1,-1,-1.6750418760469012,-189
S02,STUDY,54,high,unrelated,degraded,clear,nonword,608,-1,1,1,-1,1,-1.644736842105263,-186
S02,LIKE,55,high,unrelated,degraded,degraded,word,663,-1,1,1,1,-1,-1.5082956259426847,-185
S02,KNOW,58,high,related,clear,degraded,nonword,698,-1,-1,-1,1,1,-1.4326647564469914,-182
S02,BELL,59,low,related,clear,clear,word,574,1,-1,-1,-1,-1,-1.7421602787456445,-181
S02,FATHER,60,high,unrelated,degraded,clear,word,646,-1,1,1,-1,-1,-1.5479876160990713,-180
S02,STICK,61,low,unrelated,clear,degraded,word,1291,1,1,-1,1,-1,-0.774593338497289,-179
S02,MOUTH,62,high,related,degraded,clear,word,662,-1,-1,1,-1,-1,-1.5105740181268883,-178
S02,JOKE,63,low,related,clear,degraded,word,1882,1,-1,-1,1,-1,-0.5313496280552603,-177
S02,GOAL,66,low,unrelated,degraded,clear,nonword,1044,1,1,1,-1,1,-0.9578544061302682,-174
S02,SMART,67,low,unrelated,clear,degraded,word,632,1,1,-1,1,-1,-1.5822784810126582,-173
S02,SAME,70,high,related,clear,degraded,word,925,-1,-1,-1,1,-1,-1.0810810810810811,-170
S02,DONE,72,high,unrelated,degraded,degraded,nonword,588,-1,1,1,1,1,-1.7006802721088434,-168
S02,YEAR,74,high,related,degraded,degraded,nonword,839,-1,-1,1,1,1,-1.1918951132300357,-166
